"","year_vcs","first_vcs","first_vcs_other","first_bazaar","first_cvs","first_git","first_hg","first_monotone","first_svn","first_other","first_other_text","use_bitbucket","use_github","use_gitlab","use_sourceforge","use_selfhost","use_nothing","use_other_platform","use_selfhost_text","use_other_platform_text","why_no_platform","freq_git","freq_git_text","freq_platform","freq_platform_text","use_local_gui","use_local_term","use_local_other","use_local_other_text","why_vcs","why_vcs_text","how_learn_books","how_learn_credit_course","how_learn_online_course","how_learn_rtfm","how_learn_accel","how_learn_webinar","how_learn_workshop","how_learn_other","how_learn_other_text","who_taught_git","when_learn_git","when_learn_git_other","local_ease","ghp_ease","proficiency","freq_reteach","freq_reteach_text","fave_resource","have_taught","make_materials","regularly_teach","teach_inperson","teach_vasync","teach_vsync","improve_teaching","why_ghps","why_ghps_other_text","ghp_as_backup","use_ci","use_annotation","use_fork_pr","use_issues","use_pages","use_boards","use_wikis","use_other_feat","use_other_feat_text","how_use_ci","private_fund","public_fund","dontknow_fund","no_funds","other_fund","other_fund_text","fund_open","scholexp_collab","scholexp_edu","scholexp_method","scholexp_peerprod","scholexp_peer_review","scholexp_pub","scholexp_qa","scholexp_repro","scholexp_other","scholexp_other_text","author_collab","freq_author_collab","freq_author_collab_text","onboarding","how_doc","aca_platform","copy_longterm","archive_figshare","archive_ir","archive_osf","archive_sh","archive_zenodo","archive_other","archive_other_text","disc","disc_other_text","status","status_other_text","length_role","institution","institution_other_text"
"193","2014","Git","-99",0,0,1,0,0,0,0,"-99",0,1,1,0,0,0,0,"-99","-99","","Weekly","-99","Weekly","-99",1,0,0,"-99","My collaborators use it.","-99",1,0,1,1,0,1,0,0,"-99","I received the first proper instruction about git through a course in Coursera, named ""Data Science Tool Box""","After entering postsecondary education","-99","5","3","3","Once a semester","-99","no specific source, I normally use web search engine looking for keywords","No","","",NA,NA,NA,"","Openness (e.g. sharing data and code for open access)","-99","Yes",0,0,1,0,1,1,1,0,"-99","",0,1,0,0,0,"-99","",1,1,0,0,1,1,0,1,0,"-99","No","","","","Besides articles, I document my work with extensive use of comments in code and complementary written or graphical materials (e.g. diagrams). All are stored with the source code under Git.","Maybe","Yes",0,0,0,0,1,0,"-99","Archeology ","-99","Postdoc","-99","0-3 years","Public University","-99"
"194","2016","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Weekly","-99","Weekly","-99",0,0,1,"Rstudio","I need a version control system.","-99",1,0,0,0,0,0,0,1,"Coworker","Coworker, system engineer","After entering postsecondary education","-99","2","2","3","Once a year","-99","google :)","Yes","I make them myself","No",1,0,0,"1 page handout, customizable resources","Change tracking (e.g. changes/additions to code on a macro-scale)","-99","Yes",0,0,1,1,0,0,0,0,"-99","",0,1,0,1,0,"-99","",0,0,0,0,0,0,0,1,0,"-99","Yes","Once every 4 months","-99","Yes","-99","Maybe","Yes",0,1,0,0,0,0,"-99","Cognitive Psychology","-99","Staff","-99","4-7 years","Public University","-99"
"195","2012","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Weekly","-99","Weekly","-99",0,1,0,"-99","I need a version control system.","-99",1,0,0,1,0,0,0,0,"-99","Noone","After entering postsecondary education","-99","2","3","2","Weekly","-99","Github pages, git manual, StackExchange, Bitbucket pages","No","","",NA,NA,NA,"","Collaboration (e.g. editing and updating data/code within a team)","-99","Yes",0,1,1,1,1,0,0,0,"-99","",0,1,0,0,0,"-99","",1,1,0,0,0,0,0,0,0,"-99","Yes","Weekly","-99","No","In a directory with Markdown files","No","Yes",0,1,1,0,0,0,"-99","Management Information Systems ","-99","Tenure track faculty","-99","0-3 years","Public University","-99"
"196","2017","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Weekly","-99","Weekly","-99",1,1,0,"-99","I need a version control system.","-99",0,0,0,0,0,0,1,0,"-99","University research software engineers","After entering postsecondary education","-99","2","2","3","Never","-99","https://happygitwithr.com/","Yes","I mix original and secondary materials","No",1,0,1,"helper in the room, 1-page handout, be familiar to everything possible tool people are confounding Git with (e.g. gitlab, dropbox etc)","Openness (e.g. sharing data and code for open access)","-99","Yes",0,0,1,0,0,0,1,0,"-99","",0,0,0,1,0,"-99","",1,1,0,0,1,1,0,1,0,"-99","Yes","Once a year","-99","Yes","read me file","Maybe","Yes",1,1,1,0,1,0,"-99","Ecology & Evolutionary Biology ","-99","Staff","-99","0-3 years","Other:","It is regarded on the UK as a public university. But the definition is quite different from in the US. Legally, the university is a private non-profit corporation"
"197","2014","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Weekly","-99","Weekly","-99",1,1,0,"-99","Other:","Requirement in previous software job",1,0,1,0,0,0,0,1,"On-the-job training","Line manager","After entering postsecondary education","-99","2","2","3","Never","-99","stackoverflow.com","Yes","I make them myself","No",1,0,0,"-99","Other:","Cloud backup","Yes",1,0,1,1,1,1,0,0,"-99","Build testing for small-scale packages that I intend to share in the future",1,0,0,0,0,"-99","",0,0,0,0,0,0,1,0,0,"-99","No","","","","Local documentation and OSF project/wiki","Maybe","No",NA,NA,NA,NA,NA,NA,"","Neuroscience ","-99","Doctoral student","-99","0-3 years","Private University","-99"
"198","2018","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Weekly","-99","Weekly","-99",1,1,0,"-99","I need a version control system.","-99",1,0,0,0,0,0,1,0,"-99","Peers in R-Ladies","After entering postsecondary education","-99","4","2","1","Once a semester","-99","-99","No","","",NA,NA,NA,"","Collaboration (e.g. editing and updating data/code within a team)","-99","Yes",0,0,1,1,1,0,1,0,"-99","",0,1,0,0,0,"-99","",1,1,0,0,0,0,0,0,0,"-99","No","","","","-99","Maybe","No",NA,NA,NA,NA,NA,NA,"","Communication Disorders","-99","Doctoral student","-99","4-7 years","Private University","-99"
"199","2016","Git","-99",0,0,1,0,0,0,0,"-99",1,1,0,0,0,0,0,"-99","-99","","Weekly","-99","Weekly","-99",0,1,0,"-99","Other:","Wanted to share code/tutorials with others",1,0,0,1,0,0,1,0,"-99","host of workshop","After entering postsecondary education","-99","4","4","3","Once a semester","-99","https://happygitwithr.com/rstudio-git-github.html","No","","",NA,NA,NA,"","Openness (e.g. sharing data and code for open access)","-99","No",0,0,0,0,1,1,0,0,"-99","",0,0,0,1,0,"-99","",1,1,0,0,0,0,0,0,0,"-99","No","","","","In a shared document, generally on Google Drive","Maybe","No",NA,NA,NA,NA,NA,NA,"","Linguistics ","-99","Continuing-contract/clinical/teaching faculty","-99","0-3 years","Public University","-99"
"200","2019","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Once every 4 months","-99","Once every 4 months","-99",1,0,0,"-99","I need a version control system.","-99",0,0,0,0,0,1,0,0,"-99","-99","Other:","on the job","3","3","2","Once a semester","-99","-99","No","","",NA,NA,NA,"","Collaboration (e.g. editing and updating data/code within a team)","-99","Yes",0,0,0,0,1,0,0,0,"-99","",0,1,0,0,0,"-99","",1,0,0,0,0,0,0,0,0,"-99","Yes","Once every 4 months","-99","No","-99","Yes","No",NA,NA,NA,NA,NA,NA,"","Statistics ","-99","Tenure track faculty","-99","11+ years","Public University","-99"
"201","2018","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Monthly","-99","Weekly","-99",1,1,0,"-99","My collaborators use it.","-99",0,0,0,0,0,0,1,0,"-99","Myself, through online tutorials. My supervisor. And via instructors at Software Carpentry.","After entering postsecondary education","-99","3","2","2","Weekly","-99","The Software Carpentry workshop reference site: https://swcarpentry.github.io/git-novice/reference","No","","",NA,NA,NA,"","Collaboration (e.g. editing and updating data/code within a team)","-99","Yes",0,0,1,1,1,1,0,0,"-99","",0,1,0,0,0,"-99","",1,1,1,0,0,0,0,0,0,"-99","No","","","","A lot of ways, but one way related to Github is via project boards and issues. It's how I track everything we've done related to the project, keep collaborators informed, and project manage everything. ","No","I don't know",NA,NA,NA,NA,NA,NA,"","Library Science","-99","Masters student","-99","0-3 years","Public University","-99"
"202","2016","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Daily","-99","Daily","-99",0,1,0,"-99","My collaborators use it.","-99",1,0,0,1,0,1,0,1,"co-worker help via recipes","my co-worker. their job was/is software dev and they had to teach me to use git initially for me to publish stuff to our website","After entering postsecondary education","-99","4","4","3","Other:","my lack of a good mental model of git means I have to to backtrack when troubleshooting","1) colleague for specific troubles 2) https://happygitwithr.com/","No","","",NA,NA,NA,"","Openness (e.g. sharing data and code for open access)","-99","Yes",1,1,1,1,1,0,0,1,"GitHub actions","I'm naive on this. It's set up for our team. Used for deploying website and code",1,0,0,0,0,"-99","",1,0,0,1,1,0,0,1,0,"-99","Yes","Once every 4 months","-99","Yes","I document rOpenSci community management projects and processes in public and private GitHub repositories","Maybe","No",NA,NA,NA,NA,NA,NA,"","Community Organization & Advocacy ","-99","Staff","-99","4-7 years","Other:","non-profit producing scholarship"
